index,dms_origin,city_origin,state_origin,dms_dest,city_dest,state_dest,category,mode,total_ktons,total_ton_mile,total_m_dollar
246070,Albany NY  CFS Area,Albany,New York,Rest of WI,none,Wisconsin,Textiles/leather,Multiple modes & mail,0.051,0.0474,0.8744
357946,Rest of TN,none,Tennessee,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Electronics,Truck,0.0104,0.0097,0.1432
256282,Rochester NY,Rochester,New York,New Mexico,none,New Mexico,Plastics/rubber,Multiple modes & mail,0.1089,0.1868,0.8505
23077,Los Angeles CA,Los Angeles,California,Rest of GA,none,Georgia,Coal-n.e.c.,Truck,0.2844,0.6549,0.1002
13665,Tucson AZ,Tucson,Arizona,Atlanta GA,Atlanta,Georgia,Misc. mfg. prods.,Multiple modes & mail,0.0996,0.1907,0.9803
138379,Rest of KS,none,Kansas,Nashville TN,Nashville,Tennessee,Newsprint/paper,Truck,6.9208,6.112,4.0687
267071,Greensboro--Winston-Salem--High Point NC,Greensboro,North Carolina,Grand Rapids MI,Grand Rapids,Michigan,Furniture,Multiple modes & mail,0.2203,0.1717,0.1824
247264,Buffalo NY  CFS Area,Buffalo,New York,Cincinnati OH-KY-IN (KY Part),Cincinnati,Kentucky,Textiles/leather,Truck,0.1618,0.0759,0.1727
31907,San Diego CA,San Diego,California,Kansas City MO-KS (MO Part),Kansas City,Missouri,Pharmaceuticals,Multiple modes & mail,0.1026,0.1861,1.0387
86556,Savannah GA,Savannah,Georgia,Rest of GA,none,Georgia,Coal-n.e.c.,Truck,172.24099999999999,13.9768,213.0
211850,Rest of MO,none,Missouri,Dayton OH,Dayton,Ohio,Textiles/leather,Multiple modes & mail,0.0748,0.0402,0.8872
261052,Rest of NY,none,New York,Nashville TN,Nashville,Tennessee,Machinery,Multiple modes & mail,0.0956,0.0861,2.0075
330647,Rest of PA,none,Pennsylvania,South Dakota,none,South Dakota,Machinery,Truck,2.9828,4.8124,12.703
76912,Tampa FL,Tampa,Florida,Beaumont TX,Beaumont,Texas,Misc. mfg. prods.,Truck,0.0105,0.0092,0.0488
255443,Rochester NY,Rochester,New York,Fort Wayne IN,Fort Wayne,Indiana,Precision instruments,Air (include truck-air),0.0465,0.0193,0.0171
206813,St. Louis MO-IL (MO Part),St. Louis,Missouri,Rest of LA,none,Louisiana,Machinery,Multiple modes & mail,0.0001,0.0001,0.1781
43732,Rest of CA,none,California,Rest of WA,none,Washington,Other foodstuffs,Air (include truck-air),0.0001,0.0001,1.3107
282077,Cincinnati OH-KY-IN (OH Part),Cincinnati,Ohio,Nashville TN,Nashville,Tennessee,Mixed freight,Truck,1.9708,0.667,5.6632
407635,Seattle WA,Seattle,Washington,Iowa,none,Iowa,Transport equip.,Truck,0.1765,0.32,4.7813
85230,Atlanta GA,Atlanta,Georgia,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Milled grain prods.,Multiple modes & mail,2.4932,2.2949,11.572000000000001
354766,Knoxville TN,Knoxville,Tennessee,Sacramento CA,Sacramento,California,Paper articles,Truck,0.0014,0.0034,0.0671
307614,Rest of OK,none,Oklahoma,Rest of UT,none,Utah,Textiles/leather,Multiple modes & mail,0.0785,0.0668,0.2706
397080,Richmond VA,Richmond,Virginia,Seattle WA,Seattle,Washington,Milled grain prods.,Truck,0.5827,1.7125,0.0289
72678,Orlando FL,Orlando,Florida,Rest of NV,none,Nevada,Mixed freight,Multiple modes & mail,0.0001,0.0003,0.4287
165417,Washington DC-VA-MD-WV (MD Part),Washington DC,Maryland,Rochester NY,Rochester,New York,Mixed freight,Truck,0.132,0.0485,0.3399
184490,Grand Rapids MI,Grand Rapids,Michigan,Rest of PA,none,Pennsylvania,Nonmetal min. prods.,Truck,0.8909999999999999,0.4904,6.2657
313700,Rest of OR,none,Oregon,Rest of OK,none,Oklahoma,Furniture,Truck,0.3984,0.7405,1.6118
149138,Rest of KY,none,Kentucky,San Antonio TX,San Antonio,Texas,Misc. mfg. prods.,Truck,1.9029,2.2801,77.7679
349136,Memphis TN-MS-AR (TN Part),Memphis,Tennessee,Rest of NE,none,Nebraska,Motorized vehicles,Multiple modes & mail,0.3524,0.2845,8.093
242148,New Mexico,none,New Mexico,New Mexico,none,New Mexico,Gasoline,Truck,6134.0,216.8407,4649.0
91630,Rest of GA,none,Georgia,West Virginia,none,West Virginia,Machinery,Truck,0.5911,0.4148,6.9543
65467,Jacksonville FL-GA  CFS Area (FL Part),Jacksonville,Florida,Rest of MN,none,Minnesota,Machinery,Truck,0.3291,0.54,1.3363
85621,Atlanta GA,Atlanta,Georgia,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Wood prods.,Multiple modes & mail,0.0001,0.0001,0.0406
5553,Rest of AL,none,Alabama,San Francisco CA,San Francisco,California,Furniture,Multiple modes & mail,0.0001,0.0003,0.4963
284882,Cleveland OH,Cleveland,Ohio,Rest of MI,none,Mississippi,Precision instruments,Truck,0.2026,0.0614,32.965
39685,Fresno CA,Fresno,California,Boston MA-RI-NH-CT (NH Part),Boston,New Hampshire,Plastics/rubber,Multiple modes & mail,0.0001,0.0003,0.3521
59547,Rest of CT,none,Connecticut,Austin TX,Austin,Texas,Electronics,Multiple modes & mail,0.1262,0.263,10.794
217313,Omaha NE-IA (NE Part),Omaha,Nebraska,Buffalo NY  CFS Area,Buffalo,New York,Mixed freight,Multiple modes & mail,0.0001,0.0001,0.8326
222130,Las Vegas NV-AZ (NV Part),Las Vegas,Nevada,Denver CO,Denver,Colorado,Textiles/leather,Multiple modes & mail,0.1106,0.1105,5.622000000000001
183424,Grand Rapids MI,Grand Rapids,Michigan,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Mixed freight,Truck,8.1834,4.8727,66.3977
244996,Albany NY  CFS Area,Albany,New York,Rochester NY,Rochester,New York,Misc. mfg. prods.,Multiple modes & mail,0.1108,0.0207,1.9315
89333,Rest of GA,none,Georgia,Louisville KY-IN (KY Part),Louisville,Kentucky,Newsprint/paper,Truck,11.132,6.4276,5.7239
412446,Portland OR-WA (WA Part),Portland,Washington,Seattle WA,Seattle,Washington,Paper articles,Truck,3.5522,0.631,7.4965
149208,Rest of KY,none,Kentucky,Salt Lake City UT,Salt Lake City,Utah,Misc. mfg. prods.,Multiple modes & mail,0.091,0.1575,4.9428
223971,Rest of NV,none,Nevada,Birmingham AL,Birmingham,Alabama,Mixed freight,Multiple modes & mail,0.1435,0.3098,2.878
409295,Seattle WA,Seattle,Washington,Rest of SC,none,South Carolina,Alcoholic beverages,Truck,1.3201,3.9131,0.0253
289249,Columbus OH,Columbus,Ohio,Rest of MA,none,Massachusetts,Precision instruments,Air (include truck-air),0.1268,0.0885,0.2387
231077,Rest of NH,none,New Hampshire,New York NY-NJ-CT-PA (NY Part),New York,New York,Misc. mfg. prods.,Air (include truck-air),0.0001,2.8800000000000002e-05,0.0057832000000000005
252758,New York NY-NJ-CT-PA (NY Part),New York,New York,Rest of NY,none,New York,Mixed freight,Truck,27.7136,6.2746,95.9835
156574,Rest of LA,none,Louisiana,Rest of MN,none,Minnesota,Motorized vehicles,Truck,3.5580000000000003,5.317,2.7614
102139,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Articles-base metal,Air (include truck-air),0.1057,0.0742,7.0642
405474,Rest of VA,none,Virginia,Rest of SC,none,South Carolina,Motorized vehicles,Truck,8.9699,3.6145,87.3265
85913,Atlanta GA,Atlanta,Georgia,Milwaukee WI,Milwaukee,Wisconsin,Furniture,Truck,0.8882,0.7386,1.2901
174743,Rest of MA,none,Massachusetts,Rest of HI,none,Hawaii,Misc. mfg. prods.,Multiple modes & mail,0.0026,0.0133,0.0119
405315,Rest of VA,none,Virginia,Rest of PA,none,Pennsylvania,Wood prods.,Multiple modes & mail,0.1105,0.045,0.1707
393611,Vermont,none,Vermont,New York NY-NJ-CT-PA (PA Part),New York,Pennsylvania,Articles-base metal,Truck,1.6807,0.6354,0.8723
128585,Iowa,none,Iowa,Milwaukee WI,Milwaukee,Wisconsin,Newsprint/paper,Multiple modes & mail,0.2726,0.0871,0.606
220401,Rest of NE,none,Nebraska,New Mexico,none,New Mexico,Gasoline,Truck,46.666000000000004,43.0009,29.439
140377,Cincinnati OH-KY-IN (KY Part),Cincinnati,Kentucky,St. Louis MO-IL (MO Part),St. Louis,Missouri,Plastics/rubber,Truck,3.0660000000000003,1.2395,11.758
142083,Louisville KY-IN (KY Part),Louisville,Kentucky,San Francisco CA,San Francisco,California,Alcoholic beverages,Rail,1.7988,4.4155,13.331
238821,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,Omaha NE-IA (NE Part),Omaha,Nebraska,Chemical prods.,Truck,0.1175,0.1496,2.5569
