orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Canada,Alabama,Live animals/fish,-0.0253,-0.033,-0.0844,-0.0374,-0.0455,-0.1296,-0.0535,-0.0651,-0.1834,-0.0549,-0.0672,-0.189
Canada,Alabama,Cereal grains,-34.8758,-47.3907,-11.1684,-49.8439,-67.0915,-15.8807,-31.4812,-43.4926,-10.1801,-32.5261,-44.9359,-10.5179
Canada,Alabama,Other ag prods.,-1.3691,-1.4543,-2.2771,-0.6271,-0.694,-1.0227,-1.1826,-1.2856,-1.8663,-1.2454,-1.3536,-1.9648
Canada,Alabama,Animal feed,-2.5324,-2.821,-1.1465,-2.8431,-3.2325,-1.2623,-2.8244,-3.2093,-1.2478,-2.8891,-3.2827,-1.2764
Canada,Alabama,Meat/seafood,-0.2842,-0.2483,-0.6159,-0.6087,-0.534,-1.3193,-0.5496,-0.4756,-1.1847,-0.5907,-0.511,-1.2732
Canada,Alabama,Milled grain prods.,-3.5064,-2.864,-10.4567,-5.5563,-4.546,-16.5864,-5.5989,-4.5893,-16.6989,-5.802,-4.7557,-17.3041
Canada,Alabama,Other foodstuffs,-8.3082,-10.0512,-11.5016,-45.9526,-55.4836,-65.3768,-55.1094,-67.2111,-77.5671,-57.8829,-70.5932,-81.4709
Canada,Alabama,Alcoholic beverages,-1.9749,-1.6492,-3.5844,-1.9878,-1.6533,-3.6125,-1.7392,-1.48,-3.1196,-1.8378,-1.5639,-3.2964
Canada,Alabama,Natural sands,-0.0267,-0.0225,-0.0058,0,0,0,0,0,0,0,0,0
Canada,Alabama,Gravel,-62.1309,-22.0116,-0.832,-71.245,-25.0778,-0.9201,-71.9193,-25.3558,-0.9367,-63.7174,-22.7062,-0.8775
Canada,Alabama,Nonmetallic minerals,-73.3515,-65.8255,-8.4732,-92.4561,-81.3305,-10.3009,-87.3475,-76.6049,-9.7153,-91.1377,-79.9292,-10.1367
Canada,Alabama,Crude petroleum,-25.5687,-88.1373,-14.0297,-23.8559,-82.2334,-13.0899,-22.0094,-75.8681,-12.0767,-20.9434,-72.1937,-11.4918
Canada,Alabama,Fuel oils,-59.0197,-78.8387,-30.1382,-29.249,-39.3966,-14.9415,-25.6616,-34.6382,-13.2036,-30.46,-41.1155,-15.6725
Canada,Alabama,Coal-n.e.c.,-43.4815389,-50.20826428,-6.520149094,-43.21506806,-49.90042568,-6.448301646,-40.32175385,-46.55952014,-6.061881201,-41.57829539,-48.01048905,-6.250711966
Canada,Alabama,Basic chemicals,-50.93859969,-52.67250018,-23.04081643,-92.1212041,-95.43180342,-41.87430193,-103.6543041,-108.4592034,-48.23429876,-108.0870043,-113.0976036,-50.29700426
Canada,Alabama,Pharmaceuticals,-0.7863,-0.7108,-25.4089,-1.3528,-1.2705,-39.453,-0.9282,-0.8906,-25.3997,-1.0016,-0.9609,-27.4043
Canada,Alabama,Fertilizers,-46.2644,-63.3767,-13.2317,-47.3361,-65.5496,-13.5125,-52.3964,-72.1136,-14.9911,-53.3975,-73.4915,-15.2778
Canada,Alabama,Chemical prods.,-8.7417,-8.136,-45.75780033,-8.628,-8.159,-44.40709989,-11.9392,-11.2476,-61.55590011,-12.6411,-11.9082,-65.17319993
Canada,Alabama,Plastics/rubber,-57.63180004,-59.48079999,-172.4870983,-56.64370003,-58.9277,-174.7328002,-59.9029,-61.8896,-186.4138005,-63.5268,-65.6336,-197.6907996
Canada,Alabama,Wood prods.,-258.9332,-358.7122,-99.9886,-296.0301,-428.6877,-115.5204,-289.0035,-411.9658,-113.756,-295.8242,-421.6884,-116.4405
Canada,Alabama,Newsprint/paper,-58.7529,-74.8486,-35.0044,-52.7087,-72.0045,-31.7406,-34.691,-46.9798,-20.744,-35.671,-48.3066,-21.3297
Canada,Alabama,Paper articles,-1.6332,-1.6155,-4.7567,-1.6012,-1.5481,-4.6027,-1.4175,-1.3637,-4.1052,-1.4715,-1.4158,-4.2615
Canada,Alabama,Printed prods.,-0.7919,-0.7983,-4.3572998,-0.8587,-0.8634,-4.687,-0.9243,-0.9022,-4.979,-0.9716,-0.9482,-5.2331
Canada,Alabama,Textiles/leather,-4.149900002,-3.979,-30.46899972,-2.444999992,-2.476,-16.17540003,-2.6404,-2.6888,-17.88800007,-2.8464,-2.8983,-19.28460001
Canada,Alabama,Nonmetal min. prods.,-20.44779987,-19.15259998,-16.31939987,-24.78040001,-23.26410021,-19.98470372,-11.5314996,-10.84689974,-9.848300706,-12.23969969,-11.51329979,-10.45289969
Canada,Alabama,Base metals,-103.628303,-102.0381026,-137.0778049,-69.57260202,-68.46310176,-91.7453033,-98.30560283,-97.29480247,-130.1880046,-101.3728029,-100.3304026,-134.2502048
Canada,Alabama,Articles-base metal,-45.252906,-44.06080554,-84.24541016,-66.31440911,-63.96500844,-123.3687153,-33.81920469,-32.43080436,-64.88071308,-36.25330506,-34.76480468,-69.55090689
Canada,Alabama,Machinery,-24.62849998,-23.41389999,-226.9552374,-22.79400003,-21.35049995,-214.8370639,-22.43879959,-20.80900001,-210.153031,-23.96839988,-22.22729998,-224.4778149
Canada,Alabama,Electronics,-3.934102015,-3.754802118,-88.80378327,-3.035901238,-2.829301869,-81.22469107,-3.022201747,-2.572001932,-58.86349014,-3.211002004,-2.733102084,-62.54254644
Canada,Alabama,Motorized vehicles,-38.00730197,-33.28170181,-345.4461155,-32.99800176,-28.66870159,-290.867614,-33.21830173,-29.27270156,-308.3611137,-34.36650179,-30.28480162,-319.0191142
Canada,Alabama,Transport equip.,-0.362700003,-0.3587,-8.561996211,-0.406899998,-0.385,-8.461598895,-0.4225,-0.3569,-5.375599579,-0.4428,-0.3743,-5.636999579
