category,orig_name,orig_type,dest_name,dest_type,ktons_2012,million_dollars_2012,ton_miles_2012,ktons_2013,million_dollars_2013,ton_miles_2013,ktons_2014,million_dollars_2014,ton_miles_2014,ktons_2015,million_dollars_2015,ton_miles_2015
Default,AL,Southeast,AL,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,AK,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,AZ,Southwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,AR,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,CA,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,CO,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,CT,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,DE,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,FL,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,GA,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,HI,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,ID,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,IL,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,IN,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,IA,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,KS,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,KY,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,LA,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,ME,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MD,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MA,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MI,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MN,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MS,Southeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MO,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,MT,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NE,Midwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NV,West,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NH,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NJ,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NM,Southwest,0,0,0,0,0,0,0,0,0,0,0,0
Default,AL,Southeast,NY,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
