,state,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
0,Alabama,937329.5350613142,732458.807999999,715936.3701085013,225833.3633045999,1014539.292451794,796912.4083000037,777647.0612863891,298578.82146535243,-77209,-61709,-64452,-72744
1,Alaska,269980.1959786003,160654.8956000001,181306.3498573998,293122.6647704998,173045.4088119986,134701.2500999999,136692.44070613978,54208.09472580008,96934,44612,25952,238912
2,Arizona,475674.524864414,474867.2836999997,464167.545136821,107172.03154135981,553594.638880041,631720.7531000015,612123.4297574122,173590.31608508003,-77918,-147954,-156852,-66418
3,Arkansas,767962.4252330451,440459.4627999998,438941.6699872789,186683.04692708922,749833.8757301437,497862.2330999991,487564.36962456035,189826.92016639508,18127,-48621,-57401,-3144
4,California,2938646.8737778375,4599805.406799981,4490899.727560128,708810.2371521451,3234274.393762427,4085702.470500032,4064192.7824906246,1133219.3101512447,-295626,426706,514101,-424408
5,Colorado,984984.7977250082,597780.5254000009,600402.0373196014,274424.7350339995,862702.0857801889,627256.0637000011,623310.7935324392,206597.9582789197,122281,-22907,-29473,67825
6,Connecticut,362904.2926266534,588885.0760999991,585903.392691009,70912.47957128992,350079.87717725564,500975.9055000002,493695.21292746114,57239.939853639764,12823,92207,87908,13671
7,Delaware,121790.84446699987,132619.51629999978,132323.48609599992,11044.280343000013,163807.5686613513,149539.32869999984,150615.31733559998,25812.45265509106,-42016,-18290,-16919,-14767
8,District of Columbia,19308.29520000003,13568.171000000002,13465.700800000013,2202.9068999999995,21502.284969210137,62530.16859999997,58772.42474510007,2619.544704299995,-2193,-45305,-48960,-415
9,Florida,1592801.323672547,1363604.2178000016,1343425.9835632117,266766.743876289,1820572.8013632123,1707515.5882999878,1688586.5424208152,425021.64256603434,-227770,-345159,-343909,-158253
10,Georgia,1117799.9305243932,1287137.4481999998,1255895.7014022344,219156.64158236957,1229305.0543845224,1310532.1632000012,1255270.6329944716,359481.2774882406,-111503,626,-23393,-140323
11,Hawaii,119499.06169734977,76330.22380000008,73845.70772728996,11951.210367020018,126961.4180039085,106668.18370000007,102006.27118394987,34617.88325484004,-7460,-28159,-30336,-22665
12,Idaho,291812.76339086215,161151.91560000004,161331.11105481017,119694.98278054979,245401.883310656,177023.09940000015,173627.3570213,63633.670295850025,46409,-12294,-15869,56060
13,Illinois,2356728.1743595004,2563676.2835999965,2555486.986519215,527409.2813452671,2447500.3312836313,2217471.3619999965,2223301.016635862,690000.6094951663,-90771,332185,346204,-162591
14,Indiana,1305832.067073829,1290401.9555999981,1298129.4396490706,273548.2624350507,1460622.9838287134,1265237.939699997,1271969.212706103,352039.9186121644,-154790,26158,25164,-78490
15,Iowa,1264226.1758973931,714894.5894999981,719759.3600497707,331091.25589434104,1170488.7840030338,670800.8844000001,674260.4004079598,256143.71747819934,93736,45498,44093,74945
16,Kansas,876913.3745250494,700818.768700001,716975.8288161705,259605.05029799062,852175.4615505624,655039.2377000006,668998.2945958413,239003.16234424923,24737,47975,45778,20601
17,Kentucky,1057798.4880133918,821553.4322000002,823559.4265091603,342786.85414431046,971484.0202068512,791653.7980000019,793879.0184813614,309217.3258984785,86312,29679,29898,33568
18,Louisiana,1809647.0511982678,1005458.5772999993,1077819.65492952,516152.79374790273,1726185.937353874,1068415.6432000021,1133651.0995318692,594967.3876863194,83460,-55830,-62956,-78813
19,Maine,195087.22680743196,121954.12979999995,122631.57472385991,31221.55400778006,175616.21909375826,143082.85099999997,143579.34423000025,24172.741204690108,19469,-20946,-21128,7047
20,Maryland,811055.1353767603,975182.4744000011,965223.6190592214,104031.1982265597,948642.4727815802,1152679.736599999,1127607.8552748887,203057.36227374178,-137586,-162383,-177496,-99025
21,Massachusetts,450631.27789762116,710655.3806000005,700104.868315941,49781.2221909997,509180.1360799443,801132.3395000014,789709.0693071918,87680.7693871281,-58548,-89602,-90476,-37898
22,Michigan,481813.9485477867,974171.4920000003,952468.0999597185,100333.79137100044,644789.0099800237,897520.7243999981,884407.5633381295,209589.0725783187,-162973,68059,76649,-109254
23,Minnesota,1320075.0576250812,909583.6001999965,915226.8836833484,416263.34940563794,1309580.8825734495,867616.0232000017,887453.2844120916,400866.5282101274,10493,27772,41966,15396
24,Mississippi,1326618.2303587843,899624.213199999,897817.0037926009,339368.6057042311,1387836.83907561,916427.1489999997,911164.6418954218,377353.79148645274,-61217,-13347,-16802,-37984
25,Missouri,827617.0252025935,812641.9225000007,795951.4320206507,186989.3716351195,1005773.6347515509,881854.9745999989,873356.335207731,358430.0886928116,-178155,-77404,-69211,-171440
26,Montana,352444.58480026125,119783.00249999989,131614.03076419988,240470.15669335,182865.03617859178,146795.79269999993,156440.8522750001,80214.4804384197,169578,-24826,-27012,160254
27,Nebraska,786462.2075071319,427872.3844999992,436379.3495938799,284510.5642378007,800306.1970101354,449290.99130000034,454792.0299892007,203496.69435020897,-13842,-18411,-21417,81013
28,Nevada,228621.0046608902,226155.68699999998,221332.7583799897,56870.114068189934,268847.45365624886,310546.65999999974,272723.14545754076,82664.10689060298,-40224,-51389,-84390,-25793
