orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Alabama,Canada,Live animals/fish,0.6527,0.700300895,1.663501208,0.06179993,0.064000136,0.280999863,0.117899964,0.116700016,0.39040004,0.115699964,0.114800021,0.381900042
Alabama,Canada,Other ag prods.,1.9429,2.0987,2.496,2.4303,2.4485,3.1223,4.4068,4.6971,5.6616,4.1773,4.4686,5.3665
Alabama,Canada,Animal feed,23.2917,25.4952,19.0375,25.2197,26.9945,20.6134,22.4625,24.1994,18.3604,22.2126,23.9283,18.1558
Alabama,Canada,Meat/seafood,5.4485,4.9053,26.7652,8.9683,7.8756,44.0561,9.8564,8.7257,48.4183,9.2744,8.2293,45.5598
Alabama,Canada,Milled grain prods.,0.0268,0.0442,0.0422,0.1067,0.1634,0.168,0.0764,0.1281,0.1205,0.0751,0.126,0.1184
Alabama,Canada,Other foodstuffs,4.6179,5.2006,6.5707,6.0762,6.4862,8.646,8.054,8.7364,11.4597,7.9878,8.685,11.3657
Alabama,Canada,Building stone,0.9375,1.8694,0.1461,0.6852,1.2711,0.1068,0.7679,1.8019,0.1196,0.768,1.8049,0.1197
Alabama,Canada,Natural sands,16.1258,14.7382,0.3596,24.6654,23.9083,0.55,25.001,24.2189,0.5576,23.9235,23.0852,0.5334
Alabama,Canada,Gravel,71.7921,69.0848,0.7969,20.3937,19.6202,0.2265,20.7011,19.8709,0.2299,18.9321,18.1361,0.2102
Alabama,Canada,Nonmetallic minerals,27.865,27.981,2.1422,19.2225,19.9396,1.4776,26.2433,27.7257,2.0174,24.2432,25.9235,1.8638
Alabama,Canada,Metallic ores,0.1122,0.1406,0.0165,0,0,0,0.1433,0.1796,0.0211,0.1372,0.1719,0.0202
Alabama,Canada,Fuel oils,0.7434,0.7027,0.5144,0.8139,0.8203,0.5624,1.095,1.0911,0.7573,1.1961,1.1915,0.8272
Alabama,Canada,Coal-n.e.c.,27.5725229,22.5019923,4.693751702,27.61150318,22.5341456,4.706550128,22.20845227,18.12454051,3.827671584,22.21425167,18.12925879,3.828343865
Alabama,Canada,Basic chemicals,37.93000301,54.74840376,66.75930748,28.41220045,29.96630284,64.13390333,29.68680146,30.05160039,67.78470267,30.58550159,30.97530066,69.83450367
Alabama,Canada,Pharmaceuticals,0.0166,0.0187,1.9216,0.0039,0.0012,1.0661,0.0037,0.0034,0.6248,0.0039,0.0036,0.6256
Alabama,Canada,Fertilizers,8.571,9.8571,3.6786,15.2263,15.4836,6.535,8.5544,10.6126,3.6715,8.6533,10.7891,3.7139
Alabama,Canada,Chemical prods.,9.902599974,10.9498,46.67379987,8.872700005,9.539100003,41.87839584,11.6272,12.1694,54.69299976,12.15869998,12.7775,57.19349989
Alabama,Canada,Plastics/rubber,72.6885,68.9731,239.7284,72.9917,66.974,240.8352,74.3791,67.9076,245.4153,76.3873,69.9844,252.0442
Alabama,Canada,Logs,1.673,1.45,0.2587,0.403,0.3494,0.0624,2.7597,2.3918,0.4267,2.7574,2.3864,0.4263
Alabama,Canada,Wood prods.,12.8992,13.3793,9.613,18.1882,18.6291,13.5552,20.5624,21.5473,15.3243,20.5388,21.5479,15.3069
Alabama,Canada,Newsprint/paper,159.7478,136.5356,130.5461,170.387,142.6979,139.2079,184.1233,156.3193,150.4574,182.0421,154.8398,148.7566
Alabama,Canada,Paper articles,3.9344,3.5115,10.4027,4.4161,3.8425,11.6841,4.5317,3.9013,11.9908,4.5363,3.9086,12.0024
Alabama,Canada,Printed prods.,0.663100019,0.675800003,3.23559965,0.644699996,0.6257,3.172200486,0.777699996,0.7499,3.613400081,0.763499996,0.7384,3.547199838
Alabama,Canada,Textiles/leather,11.36950409,11.91940403,110.120239,7.657001263,7.744501284,76.63142599,9.264902373,9.366101383,90.52692334,9.144202387,9.295301391,89.34682304
Alabama,Canada,Nonmetal min. prods.,59.22880302,71.69900386,47.12559863,63.87730216,76.65810283,50.80839905,61.47220183,74.28230261,50.24860105,60.55620154,73.13800258,49.39630463
Alabama,Canada,Base metals,115.1605,132.3221,171.2861999,113.2446,123.1762,169.0393939,120.2052,133.6126,187.4819992,118.8087,132.4773,185.6802001
Alabama,Canada,Articles-base metal,65.472903,80.29310255,185.6475089,137.4329058,170.5657046,391.6240108,76.29490404,91.07220343,217.6588161,75.4611039,90.47920334,215.2284143
Alabama,Canada,Machinery,62.59610168,58.64040268,511.2493586,72.33210162,67.31910288,585.2796812,80.75620537,72.48770229,704.3505187,83.72299691,75.3225027,730.690339
Alabama,Canada,Electronics,3.57620316,3.664004734,112.9805954,4.984303606,5.067005528,165.9540195,5.385403029,5.308604935,177.8540511,5.403503222,5.36140531,178.2649547
Alabama,Canada,Motorized vehicles,287.4246,299.6055,2361.7407,302.6018,326.4857,2485.6419,297.4836,303.8127,2443.773,304.1646,312.1527,2498.653
Alabama,Canada,Transport equip.,0.4614,0.597699997,18.53866134,0.574799444,0.810500966,24.98509133,0.531399726,0.829600765,22.7247568,0.511500115,0.803900101,21.71296857
Alabama,Canada,Precision instruments,1.662000015,1.507599148,86.40837559,1.334800217,1.200800032,66.09645483,0.793100023,0.711400076,38.99270062,0.781200026,0.701499985,38.42899979
Alabama,Canada,Furniture,7.468601981,8.120704796,29.83901056,8.019001416,8.357104414,32.05850738,6.14850075,6.481601741,24.90950443,6.302301006,6.66950204,25.53270491
Alabama,Canada,Misc. mfg. prods.,8.619200006,13.4842,169.7391007,8.561200071,13.23640001,169.4134925,7.257399997,11.3357,143.298901,7.278999996,11.3765,143.7197994
Alabama,Canada,Waste/scrap,1.6432,1.4411,1.3143,1.1027,0.9619,0.8845,0.9297,0.8029,0.7462,0.923,0.7981,0.7402
Alaska,Canada,Live animals/fish,0.0346,0.1256,0.1209,0.2523,1.0168,0.6062,0.0024,0.0098,0.0059,0.0022,0.0088,0.0053
Alaska,Canada,Cereal grains,0.0909,0.2225,0.0355,0.1511,0.37,0.059,0.1075,0.2632,0.042,0.0905,0.2216,0.0353
Alaska,Canada,Animal feed,0.4729,0.0676,0.3865,0.4665,0.0465,0.3813,0.5974,0.1231,0.4883,0.5764,0.1194,0.471
Alaska,Canada,Meat/seafood,17.007,17.6248,74.1414,17.7979,24.4279,81.3327,11.3427,14.543,54.1803,10.9157,13.9496,52.1373
Alaska,Canada,Other foodstuffs,0.0021,0.0051,0.003,0.1041,0.2548,0.1487,0.1635,0.4003,0.2336,0.1535,0.3757,0.2192
