state_origin,total_ktons_se,total_current_m_dollar_se,total_m_dollar_se,total_ton_mile_se,total_ktons_si,total_current_m_dollar_si,total_m_dollar_si,total_ton_mile_si,net_total_ktons,net_total_m_dollar,net_total_current_m_dollar,net_total_ton_mile
Alabama,306648.3534555013,238502.65230000007,232862.77897550093,73380.18793429992,331065.8671133677,260094.31210000155,252067.34186969898,96446.11414288009,-24417,-19204,-21591,-23065
Alaska,83193.35884770009,58778.16870000002,55951.93703419987,86962.80895369996,54943.327544379456,47166.85900000007,43308.09078497998,16968.02793139004,28250,12643,11611,69994
Arizona,155474.71584370596,153716.01929999967,151145.29124927009,34669.597435850075,182150.62050984675,204484.49040000173,198532.8968824991,57266.74210675023,-26675,-47387,-50768,-22597
Arkansas,248670.79181739138,144922.46530000013,142936.09500660942,60870.32425386986,241119.80247915105,162126.10029999947,157345.36243409017,60846.41566846668,7550,-14409,-17203,23
California,955220.4862734459,1500882.062199989,1452205.5204801513,230767.45399681563,1045481.4018702391,1348451.0395000065,1320350.8498341236,360672.7523927293,-90260,131854,152431,-129905
Colorado,319207.78928200237,194680.13960000034,192265.48687320072,88439.00640199984,286815.74940925406,207677.0388000003,204797.8741667006,70188.46965312,32392,-12532,-12996,18250
Connecticut,117949.04223830198,195870.04999999935,192906.4350327505,23793.132782189983,112176.14160320567,160789.73500000002,157661.97722810993,18092.142325599856,5772,35244,35080,5700
Delaware,39015.31233699979,43123.018499999824,42537.14310400003,3575.5197700000003,52451.451392064395,49073.13789999979,48596.51634459999,8159.92491936703,-13436,-6059,-5950,-4584
District of Columbia,6173.950800000009,4370.716300000005,4346.169700000004,762.6984999999993,6704.23655003004,20115.911599999992,18971.573463100027,808.4592300999973,-530,-14625,-15745,-45
Florida,526575.4095071685,448365.1544000017,438467.95044061216,88921.41851453453,598846.771885032,564126.0005999967,552888.4140643692,138908.3786366819,-72271,-114420,-115760,-49986
Georgia,362638.77261454304,417916.36189999845,406967.6379631527,70997.95308705981,400214.3308216593,427565.3179999996,408939.1644474724,116548.55496866573,-37575,-1971,-9648,-45550
Hawaii,39713.616512679975,26337.515400000022,24337.510909699933,3779.6277322000055,41850.598876929536,35791.3950000001,33156.84843277992,10263.613237110016,-2136,-8819,-9453,-6483
Idaho,94378.73152098083,52649.500600000036,51951.38864950011,38755.8561901099,79949.1055790984,58153.42740000016,56716.87330149998,20769.36675276004,14429,-4765,-5503,17986
Illinois,761399.2818354234,851270.0978999969,831861.1177851729,169444.9660854269,796631.0470928557,740742.583599997,725233.9139596595,228716.975734503,-35231,106627,110527,-59272
Indiana,422697.881815894,422354.33099999954,419310.0308138409,87668.01475435999,477533.2172122857,422779.13689999835,415753.2120403313,115764.22848104473,-54835,3556,-424,-28096
Iowa,397633.46619392117,236749.74350000007,233618.3448094198,105964.94061585043,372279.11739489244,220816.66060000018,217757.2524171198,84596.02228699985,25354,15861,15933,21368
Kansas,280563.54201794544,233943.64470000003,232662.24791137013,81831.39433959684,274136.07485627366,217733.31130000035,215594.2605534506,77536.98672553957,6427,17067,16210,4294
Kentucky,347557.2717002008,269184.1968000002,266984.29771629995,113154.01643154009,310432.70635942684,258972.23680000092,256379.65038854096,98199.55934759387,37124,10604,10211,14954
Louisiana,593295.2020290289,353822.75890000095,353786.7457445607,167577.29112750082,564111.9840150054,372466.81040000124,368786.61199830956,192495.4730837324,29183,-14999,-18644,-24918
Maine,63415.64110347141,40495.004300000044,40014.20979922999,10443.963414082027,56585.812891139416,46654.288899999985,46127.17241000012,7751.297799420043,6829,-6112,-6159,2692
Maryland,263493.7120579825,321113.83190000005,315388.9772162702,33945.91349087991,307151.0418796729,373104.80570000055,363622.1975878481,64332.876055573804,-43657,-48233,-51990,-30386
Massachusetts,146017.8282088685,232583.9316000004,225988.60791211,16238.984000599938,165400.92180569563,264054.12500000116,256597.19367904012,28455.245990339048,-19383,-30608,-31470,-12216
Michigan,156115.84742245203,313953.0440000005,307611.04989516,32495.5258517413,209948.82558692974,291383.7800999983,285936.60157457227,69606.7802819496,-53832,21674,22569,-37111
Minnesota,421176.4612508578,297605.1373999966,294660.61461636994,134559.83364112853,415743.4113319221,287645.27490000054,284851.8627649002,130149.47087810049,5433,9808,9959,4410
Mississippi,426151.42472165154,294519.29539999913,289998.74941940035,108756.24539782008,448018.6964317578,302403.5963000004,294930.07378709037,122214.2546621206,-21867,-4931,-7884,-13458
Missouri,268853.3270101212,262657.19980000023,257837.88815392987,60526.020433639955,329825.60837738425,290218.83009999903,285819.53829349123,120664.46900940247,-60972,-27981,-27561,-60138
Montana,116931.78060030054,42775.45719999993,43011.3418358001,81509.84030145995,58674.29320171257,50713.8385999999,50672.56452200001,26229.078639399955,58257,-7661,-7938,55280
Nebraska,246642.90820179065,141705.05939999985,141013.9545943096,90217.10577870047,251160.79836372225,147214.34459999975,146026.09323777063,66762.91878043373,-4517,-5012,-5509,23454
Nevada,74747.28843891007,73590.8043000001,71947.77711026982,18186.985545899963,88796.07545030954,100456.04629999986,88533.95656343017,26948.047760538026,-14048,-16586,-26865,-8761
New Hampshire,35312.215195860925,42899.9049000001,42146.41256486988,3999.103100237024,45028.24710884944,61184.11899999981,60344.89747499992,6666.067150805037,-9716,-18198,-18284,-2666
New Jersey,273614.55570145947,468358.2860000002,452937.4376200006,39410.6820875199,286874.54764935694,375441.0570000005,368890.1271831702,59909.1488317468,-13259,84047,92917,-20498
