code,region,state
'011','Birmingham-Hoover-Talladega, AL  CFS Area','Alabama'
'012','Mobile-Daphne-Fairhope, AL  CFS Area','Alabama'
'019','Rest of AL','Alabama'
'020','Alaska','Alaska'
'042','Tucson-Nogales, AZ  CFS Area'
'041','Phoenix-Mesa-Glendale, AZ  CFS Area ','Arizona'
'049','Rest of AZ','Arizona'
'050','Arkansas'
'065','Fresno-Madera, CA  CFS Area','California'
'061','Los Angeles-Long Beach, CA  CFS Area','California'
'062','Sacramento-Roseville, CA  CFS Area','California'
'064','San Jose-San Francisco-Oakland, CA  CFS Area','California'
'063','San Diego-Carlsbad-San Marcos, CA  CFS Area','California'
'069','Rest of CA','California'
'081','Denver-Aurora, CO  CFS Area ','Colorado'
'089','Rest of CO','Colorado'
'092','New York-Newark, NY-NJ-CT-PA  CFS Area (CT Part)','Connecticut'
'091','Hartford-West Hartford-East Hartford, CT  CFS Area','Connecticut'
'099','Rest of CT','Connecticut'
'101','Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (DE Part)','Delaware'
'109','Rest of DE','Delaware'
'111','Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (DC Part)','District of Columbia'
'121','Jacksonville-St. Marys-Palatka, FL-GA  CFS Area (FL Part)','Florida'
'122','Miami-Fort Lauderdale-Port St. Lucie, FL  CFS Area','Florida'
'123','Orlando-Deltona-Daytona Beach, FL  CFS Area','Florida'
'124','Tampa-St. Petersburg-Clearwater, FL  CFS Area','Florida'
'129','Rest of FL','Florida'
'131','Atlanta-Athens-Clarke County-Sandy Springs, GA  CFS Area ','Georgia'
'132','Savannah-Hinesville-Statesboro, GA  CFS Area','Georgia'
'139','Rest of GA','Georgia'
'151','Urban Honolulu, HI  CFS Area','Hawaii'
'159','Rest of HI','Hawaii'
'160','Idaho','Idaho'
'171','Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)','Illinois'
'172','St. Louis-St. Charles-Farmington, MO-IL  CFS Area (IL Part)','Illinois'
'179','Rest of IL','Illinois'
'181','Chicago-Naperville, IL-IN-WI  CFS Area (IN Part)','Indiana'
'183','Fort Wayne-Huntington-Auburn, IN  CFS Area','Indiana'
'182','Indianapolis-Carmel-Muncie, IN  CFS Area','Indiana'
'189','Rest of IN','Indiana'
'190','Iowa','Iowa'
'201','Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (KS Part)','Kansas'
'202','Wichita-Arkansas City-Winfield, KS  CFS Area ','Kansas'
'209','Rest of KS','Kansas'
