,fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
264462,,484,488,806.0,,7,3.0,19,3,0.05134299999999999,0.054035,0.051614,0.050618,0.10513,0.16014,0.17521,0.20678000000000002,0.22864,0.25343000000000004,0.0089608,0.009450299999999998,0.0096471,0.0088168,0.041602999999999994,0.074411,0.08212,0.10574000000000001,0.11628,0.12805999999999998,0.012121999999999999,0.012758,0.012186,0.011951,0.024822,0.03781,0.041368,0.048822000000000004,0.053983,0.059836,0.009836899999999999,0.010676,0.0074125
463283,,399,339,,,5,,24,1,0.059000000000000004,0.0587,0.0612,0.0631,0.0753,0.0814,0.085,0.0871,0.0886,0.0947,5.3574,5.3312,5.559,5.7255,6.8396,7.39,7.7189,7.9087,8.0487,8.6001,0.0429,0.0427,0.0445,0.0458,0.0547,0.0592,0.0618,0.0633,0.0644,0.0688,5.4237,5.7696,5.6519
1093424,,499,531,808.0,,5,3.0,34,3,0.0293,0.0212,0.0265,0.0252,0.0332,0.0444,0.0565,0.0727,0.1016,0.1229,0.6496,0.4699,0.5870000000000001,0.5578,0.7358,0.9853,1.2526,1.6107,2.2534,2.7239999999999998,0.0351,0.0254,0.0317,0.0302,0.0398,0.0533,0.0677,0.0871,0.1218,0.1473,0.4756,0.6022,0.5774
1515398,,473,171,,,4,,40,1,0.0471,0.0527,0.0534,0.0544,0.0614,0.0647,0.0693,0.0731,0.0748,0.0812,0.0253,0.0283,0.0287,0.0292,0.033,0.0348,0.0372,0.0392,0.0402,0.0436,0.0195,0.0219,0.0222,0.0226,0.0255,0.0269,0.0288,0.0303,0.031,0.0337,0.0286,0.0291,0.0299
1414872,,429,101,803.0,,4,4.0,38,3,6.5505e-05,0.0,0.0039303,0.0038648000000000003,0.005633399999999999,0.0080571,0.010874,0.015066,0.022927,0.026005,0.018538,0.00019651,1.1038,1.0867,1.5897,2.2734,3.0737,4.2561,6.4843,7.3587,0.0,0.0,0.00052404,0.00052404,0.00072055,0.0010481,0.0014411,0.0020305999999999996,0.0030786999999999998,0.0034718,0.0003,1.7159,1.7069
756405,806.0,486,11,,3.0,1,,30,2,0.0007,0.0005,0.0008,0.0009,0.0011,0.0014,0.0016,0.002,0.0025,0.003,0.0012,0.0009,0.0014,0.0016,0.0019,0.0023,0.0028,0.0035,0.0044,0.0051,0.0005,0.0004,0.0006,0.0006,0.0008,0.001,0.0012,0.0014,0.0018,0.0021,0.0009,0.0015,0.0016
1367368,802.0,512,211,,3.0,2,,38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.003,0.0032,0.0045,0.006,0.008,0.0108,0.0149,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0031,0.0033
1177350,,124,121,808.0,,1,4.0,35,3,0.0,0.0,9.9992e-05,9.9992e-05,9.9992e-05,0.00019998,0.00029998,0.00039997,0.00049996,0.00059995,0.0012999,0.0012999,0.13129000000000002,0.13979,0.18019000000000002,0.25138,0.33697,0.45776000000000006,0.67185,0.80614,0.0,0.0,0.0,0.0,0.0,0.0,9.9992e-05,9.9992e-05,9.9992e-05,9.9992e-05,0.0013,0.1309,0.1385
547833,,171,209,,,1,,26,1,0.4237,0.4659,0.4741,0.4834,0.5422,0.5518,0.5651,0.5591,0.5498,0.5243,1.7622,1.9376,1.9716,2.0104,2.2548,2.2951,2.3504,2.3254,2.2866,2.1808,0.2358,0.2592,0.2638,0.26899999999999996,0.3017,0.3071,0.3145,0.3111,0.3059,0.2918,2.0644,2.1915,2.2116
373121,807.0,451,483,,3.0,3,,22,2,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
