,origin,dest,commodity,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tons_2012,tons_2013,tons_2014,tons_2015,value_2012,value_2013,value_2014,value_2015,curval_2013,curval_2014,curval_2015,value_total,tmiles_total,tons_total,curval_total
0,,AK,Alcoholic_beverages,7.3409,8.169099999999998,9.177299999999995,9.1323,2.974500000000001,3.3447000000000005,3.570600000000001,3.5645000000000002,9.843299999999996,9.746400000000003,13.335599999999992,13.665399999999995,9.918900000000004,13.677799999999994,14.081999999999997,46.5907,33.8196,13.454299999999998,47.52200000000002
1,,AL,Alcoholic_beverages,387.25729999999993,444.6631,438.42829999999975,435.13899999999995,551.2415000000004,614.9678000000005,597.8924,600.9820000000001,783.5994000000003,876.9293000000008,848.5405000000005,853.3065000000003,892.4157,870.3371999999996,879.3363000000003,3362.3756999999996,1705.4876999999997,2365.0837000000015,3425.6885999999986
2,,AR,Alcoholic_beverages,177.95549999999997,185.54369999999994,184.12199999999996,180.5996000000001,250.68970000000002,257.76279999999997,260.34310000000005,253.85320000000002,354.55070000000006,367.3914000000001,367.2518000000001,357.7645999999999,373.8782,376.6839000000001,368.67569999999995,1446.9585,728.2207999999998,1022.6487999999999,1473.7885000000008
3,,AZ,Alcoholic_beverages,695.9008,702.0918999999994,714.0266999999994,686.1460999999998,780.4795000000004,797.0344,814.6104999999994,791.1684999999999,1339.0964999999992,1362.4440999999997,1396.2063000000012,1356.8664,1386.5000999999988,1432.0648,1398.2481000000007,5454.613299999995,2798.1654999999996,3183.2929000000036,5555.909499999999
4,,Africa,Alcoholic_beverages,12.226200431458624,19.772899094825412,25.85630013603058,25.312900193348565,34.57779593522957,34.07060406107055,79.36559986725418,76.73150037102351,40.74029521168335,61.25999946491177,307.68950033899443,306.77259995915017,63.302399999999984,315.97009999999983,316.5058999999998,716.4623949747402,83.16829985566322,224.74550023457783,736.5186952116836
5,,CA,Alcoholic_beverages,2744.904603223757,2767.896703255887,2621.0060975376464,2570.0472048483375,1428.5992996999935,1438.0332956706088,1389.8546999776688,1362.5508003473283,2911.4496086590957,2940.839259393808,2892.839506823376,2818.027099977428,2993.8776000000157,2968.2788000000023,2905.0568000000103,11563.155474853638,10703.85460886558,5619.038095695621,11778.662808659072
6,,CO,Alcoholic_beverages,532.2337,539.4115,513.5463,497.1739000000003,393.4987,396.5794999999999,377.5089,364.1953,895.777400000001,892.6694000000003,859.7613000000001,842.1626999999999,908.4311000000001,881.8417000000001,867.8462999999996,3490.370799999999,2082.365400000001,1531.782400000001,3553.8965000000017
7,,CT,Alcoholic_beverages,359.83669999999995,368.06430000000006,380.5678999999999,373.6884999999997,404.8348,410.8710000000001,426.6904000000002,420.38639999999987,724.8248999999998,727.0240000000002,742.3358000000005,735.9178000000003,740.0074,761.4180999999995,758.3804999999996,2930.102499999999,1482.157399999998,1662.782599999999,2984.630899999994
8,,Canada,Alcoholic_beverages,880.6666080035701,761.4350000155812,829.866406542607,843.9031056057864,646.4007052971235,519.6091697869942,549.0723203083097,557.9485193989609,1103.4459947493451,936.0161447737586,985.138461041367,998.4940525095049,963.2948999999984,1021.4196999999971,1040.3574999999998,4023.094653073982,3315.8711201675565,2273.03071479139,4128.518094749341
9,,DC,Alcoholic_beverages,55.44459553714011,68.60449829643017,72.424295943,73.84720092699999,51.41335605800015,59.47686810070011,60.804281230000086,61.23292870000011,158.3191684550003,177.64431563210044,179.41098450000018,182.01115040000013,227.54390000000035,230.73860000000028,237.12330000000026,697.3856189871013,270.32059070357013,232.9274340887002,853.7249684550012
