commodity,curval_total_exported,curval_total_imported,state,tmiles_total_exported,tmiles_total_imported,tons_total_exported,tons_total_imported,value_total_exported,value_total_imported
Articles-base metal,140.4038,107.8819,Alabama,47.7391,10.6039,54.42190000000001,13.068,140.2519,107.7704
Basic chemicals,346.4,346.4,Alabama,107.1525,107.1525,1274.9438,1274.9438,377.5759,377.5759
Chemical prods.,8.6717,1.1684999999999999,Alabama,7.3418,0.00030000000000000003,17.0668,0.00030000000000000003,8.7377,1.1772
Coal-n.e.c.,,4.4288,Alabama,,26.2988,,92.3246,,4.4595
Crude petroleum,11.849499999999999,27.9371,Alabama,4.9411000000000005,67.5836,23.0359,60.4908,14.728,34.7234
Electronics,0.1563,119.88929999999999,Alabama,0.00030000000000000003,6.656,0.00030000000000000003,12.920200000000001,0.157,120.4951
Fertilizers,,16.957700000000003,Alabama,,18.8265,,20.6782,,17.8679
Furniture,6.468299999999999,2.7685000000000004,Alabama,1.1202,0.6101000000000001,2.2042,0.6701999999999999,6.3294,2.7111
Machinery,0.9151999999999999,75.878,Alabama,0.2399,1.4132,0.2227,1.4613,0.8934000000000001,74.0504
Milled grain prods.,65.9345,7.1786,Alabama,5.9909,0.00030000000000000003,8.700700000000001,0.00030000000000000003,64.9889,7.0758
Misc. mfg. prods.,20.8484,6.4981,Alabama,0.2653,1.6177000000000001,1.0255,1.4628999999999999,20.5004,6.389900000000001
Motorized vehicles,6.9822,6.3744,Alabama,0.10930000000000001,0.0353,0.3075,0.0909,6.8184000000000005,6.225
Nonmetal min. prods.,514.7394999999999,514.7394999999999,Alabama,39.2358,39.2358,1816.5013,1816.5013,485.70669999999996,485.70669999999996
Nonmetallic minerals,,6.4174,Alabama,,2.6661,,3.8448,,6.0274
Other foodstuffs,,88.476,Alabama,,26.964399999999998,,30.372300000000003,,85.8302
Paper articles,,19.4116,Alabama,,13.3351,,6.5362,,18.8868
Pharmaceuticals,99.60329999999999,49.0952,Alabama,0.0,1.483,0.00030000000000000003,6.1959,88.6942,43.6677
Plastics/rubber,271.0775,0.9548000000000001,Alabama,85.7338,0.044500000000000005,102.40509999999999,0.0555,267.4825,0.9414
Printed prods.,0.7885,0.6409,Alabama,0.061399999999999996,0.0804,0.16899999999999998,0.0958,0.7848999999999999,0.6379999999999999
Textiles/leather,,3.1300999999999997,Alabama,,0.3023,,0.37459999999999993,,3.0658000000000003
Wood prods.,12.5668,2.3424,Alabama,11.0335,4.7697,13.1875,1.7056,11.5063,2.144
Furniture,,1.3666,Alaska,,1.1610999999999998,,0.3304,,1.3373
Machinery,,1.2856,Alaska,,1.8471000000000002,,0.461,,1.2545
Plastics/rubber,,18.8105,Alaska,,19.8009,,7.9297,,18.5612
Alcoholic beverages,,1.6756,Arizona,,1.9960999999999998,,1.8518,,1.6353000000000002
Articles-base metal,49.2756,0.1248,Arizona,1.1768999999999998,0.45530000000000004,0.7509999999999999,0.4056,49.224999999999994,0.1246
Chemical prods.,,74.04979999999999,Arizona,,17.6168,,9.4203,,74.6187
Furniture,,4.1353,Arizona,,1.4269,,0.6729,,4.0474
Gasoline,,105.1797,Arizona,,29.799200000000003,,126.9952,,129.9485
Misc. mfg. prods.,1.3059,66.5282,Arizona,0.00030000000000000003,15.919800000000002,0.00030000000000000003,8.1263,1.2837999999999998,65.43220000000001
Motorized vehicles,0.2605,2.4164,Arizona,0.1192,1.3998,0.0467,2.0930999999999997,0.2541,2.3594000000000004
Plastics/rubber,,1.1561,Arizona,,0.8594,,0.5541,,1.1397
Printed prods.,0.49379999999999996,0.9915999999999999,Arizona,0.1979,0.5306,0.12409999999999999,0.2541,0.49150000000000005,0.9872000000000001
Textiles/leather,,88.3241,Arizona,,30.573999999999998,,15.699300000000001,,86.52590000000001
Transport equip.,59.4754,13.5502,Arizona,0.0009,0.772,0.00030000000000000003,0.39159999999999995,57.4953,13.0975
Wood prods.,1.2534,8.9291,Arizona,1.763,7.5148,1.2782,16.7892,1.1474,8.1721
Alcoholic beverages,3208.2554,2064.5236,California,2493.7865,274.1301,1564.1082999999999,550.0979,3131.4044999999996,2015.0048
Articles-base metal,1.5103,7.0621,California,0.0006000000000000001,3.1338,0.00030000000000000003,1.0221,1.5088,7.0552
Base metals,1424.8597,1433.8226,California,26.1282,55.9187,716.1935,728.2222,1543.7519,1553.5339999999999
Chemical prods.,68.56580000000001,0.5312999999999999,California,31.8196,0.7263000000000001,12.4993,0.2335,69.0921,0.5352999999999999
Electronics,1160.7408999999998,1575.2086,California,14.892599999999998,15.764299999999999,26.7366,27.9537,1166.4287,1582.944
Fertilizers,,9.7471,California,,4.689299999999999,,7.3276,,10.2947
Furniture,16.0732,262.5813,California,3.8947000000000003,51.330799999999996,4.5932,24.517300000000002,15.7266,257.0473
Gasoline,592.3808,592.3808,California,218.7171,218.7171,477.9964,477.9964,734.2896000000001,734.2896000000001
Machinery,1452.7938,1520.1336000000001,California,28.413899999999998,28.094399999999997,212.91520000000003,207.45770000000002,1417.6122,1483.3866
Meat/seafood,,2.4170999999999996,California,,0.0288,,0.0145,,2.2197999999999998
Misc. mfg. prods.,135.1885,28.987199999999998,California,44.1075,3.0777,18.4782,1.5514000000000001,132.9261,28.5063
Mixed freight,77.3489,1.5408,California,22.7012,1.7662,8.4916,0.7091000000000001,75.3125,1.5002999999999997
Motorized vehicles,15.952600000000002,108.9588,California,14.305600000000002,35.510000000000005,6.5704,17.9883,15.561200000000001,106.49790000000002
Nonmetal min. prods.,,1.3847,California,,0.40209999999999996,,0.16699999999999998,,1.3074
Other ag prods.,25.939700000000002,129.1529,California,100.88839999999999,258.713,56.822,237.65409999999997,25.825699999999998,128.6128
Other foodstuffs,1917.1395,0.7377,California,777.7031999999999,1.1672,996.2018,0.5787,1859.064,0.7156
Paper articles,122.51929999999999,0.7237,California,63.1053,0.7551000000000001,27.0903,0.30160000000000003,119.2048,0.7043
Pharmaceuticals,7.9049000000000005,317.4484,California,0.603,3.4305999999999996,0.2376,1.8469000000000002,7.0395,282.1659
Plastics/rubber,1.0455999999999999,53.806700000000006,California,0.14179999999999998,22.5714,0.4205,10.8474,1.0312999999999999,53.063900000000004
Precision instruments,338.2059,660.5257999999999,California,6.3591,31.6067,2.7105,10.1089,331.74269999999996,647.8679999999999
Printed prods.,175.839,133.0605,California,19.3127,14.0731,24.0428,22.4129,175.0314,132.44910000000002
Textiles/leather,220.637,40.4999,California,19.0793,2.7974,7.551900000000002,1.1124999999999998,216.0788,39.674
Wood prods.,12.943900000000001,42.310900000000004,California,2.2898,10.0008,0.7959,5.4005,11.8339,38.7704
Articles-base metal,,22.743000000000002,Colorado,,6.3227,,8.294999999999998,,22.7194
Base metals,,1.2507,Colorado,,0.5498000000000001,,0.4879,,1.3553000000000002
Electronics,2.7135,0.4401,Colorado,0.3474,0.07400000000000001,0.1982,0.032100000000000004,2.7269999999999994,0.44229999999999997
Machinery,,2.3236999999999997,Colorado,,1.1658,,0.9194,,2.2682
Mixed freight,,4.8668,Colorado,,1.4382,,1.2952,,4.7387
Motorized vehicles,231.07580000000002,139.017,Colorado,43.19670000000001,15.3407,53.1258,23.831899999999997,225.5879,135.7905
Newsprint/paper,,3.3880999999999997,Colorado,,0.5763,,0.6872,,3.2434000000000003
Nonmetal min. prods.,0.018000000000000002,11.694999999999999,Colorado,0.0006000000000000001,36.2726,0.0006000000000000001,47.802,0.0169,11.038400000000001
Paper articles,,5.923500000000001,Colorado,,7.501799999999999,,5.688000000000001,,5.7654
Pharmaceuticals,205.29500000000002,10.0247,Colorado,0.4787,0.7166999999999999,0.3591,0.5238999999999999,182.597,8.9439
Precision instruments,12.4831,3.0757,Colorado,0.1658,0.0762,0.4285,0.1073,12.2431,3.0172
Printed prods.,,5.5937,Colorado,,0.715,,0.8763000000000001,,5.5682
Textiles/leather,,0.5644,Colorado,,0.0517,,0.1129,,0.5529
Wood prods.,,1.0403,Colorado,,1.2850000000000001,,0.6679,,0.9523999999999999
Alcoholic beverages,2.9825,0.011800000000000001,Connecticut,7.059900000000001,0.0098,2.467,0.0092,2.9114000000000004,0.0115
Base metals,,569.7683,Connecticut,,633.8178,,780.3055,,617.5928
Basic chemicals,2.5598,0.7512,Connecticut,0.00030000000000000003,0.0,0.00030000000000000003,0.00030000000000000003,2.7686,0.8197
Chemical prods.,41.50790000000001,31.428400000000007,Connecticut,0.5706,0.5802,12.9751,12.9405,41.8223,31.667199999999994
Electronics,1.7366000000000001,2.5909,Connecticut,0.38210000000000005,0.1126,0.3798,0.2383,1.7449,2.6042
Furniture,,0.8996,Connecticut,,0.6682,,0.21739999999999998,,0.8798999999999999
Machinery,46.2836,3.2098,Connecticut,3.1993,0.6033,1.1419000000000001,1.0343,45.197300000000006,3.1304
Misc. mfg. prods.,58.4798,8.7226,Connecticut,2.3188999999999997,1.2962,1.7033999999999998,1.0372999999999999,57.523,8.5753
Mixed freight,12.1277,0.2344,Connecticut,1.8003999999999998,0.075,2.1337,0.0887,11.8092,0.2282
Motorized vehicles,0.049100000000000005,1.2113,Connecticut,0.043199999999999995,1.3468,0.008799999999999999,1.8322,0.0481,1.1815
Nonmetal min. prods.,,184.4253,Connecticut,,38.2972,,695.3357,,173.5463
Paper articles,1.7598,1.1597,Connecticut,1.5467,0.5445,1.0726,0.5117,1.7123,1.1284
Plastics/rubber,4.04,5.9803999999999995,Connecticut,2.3455,0.1483,1.9390999999999998,0.7052,3.9829,5.900399999999999
Printed prods.,26.7844,0.0678,Connecticut,3.5931,0.0858,3.2468999999999997,0.1144,26.6614,0.06760000000000001
Textiles/leather,33.9397,444.1773999999999,Connecticut,0.33540000000000003,7.1405,0.25880000000000003,6.1777,33.2483,435.07890000000003
Transport equip.,,23.0275,Connecticut,,0.5351,,0.3468,,22.2455
Wood prods.,,11.8427,Connecticut,,0.2182,,0.0727,,10.8265
Chemical prods.,,11.2372,Delaware,,0.011699999999999999,,0.026099999999999998,,11.322399999999998
Furniture,,0.37860000000000005,Delaware,,0.114,,0.0915,,0.3706
