category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
All,73047,104019,73991,68798,98185,64466,72900,94309,72640,75291,82288,77759
Alcoholic beverages,2457,2955,2008,2550,3063,1607,2892,3473,1768,3056,3670,1868
Animal feed,2884,4563,1219,2956,5848,1162,2824,4397,3228,2997,4221,3138
Articles-base metal,2313,1418,4975,2130,1555,4963,2970,1448,4988,3190,1553,5398
Base metals,2345,2111,3368,2586,2854,3714,3135,2955,3834,3237,3061,3920
Basic chemicals,5160,4487,6796,4742,4419,6411,4369,4520,42843,4194,4713,44680
Building stone,162,71,115,6019,5285,2399,6665,5869,2657,7020,6173,2798
Cereal grains,27826,25333,7481,26924,24549,7239,30811,28062,8286,30975,28219,8332
Chemical prods.,6030,876,5744,6026,871,6120,6087,845,6431,6349,867,6699
Coal,61204,104019,3608,57828,98185,3012,55648,94309,2430,48431,82288,2185
Coal-n.e.c.,73047,28183,17240,68798,31782,17384,72900,32381,18516,75291,34391,18814
Crude petroleum,49391,72255,34117,52047,56969,35088,48384,64520,32225,51959,65900,34616
Electronics,2641,895,73991,2349,817,64466,2535,894,72640,2699,951,77759
Fertilizers,4403,5278,2267,5694,5952,2923,5637,5525,2892,5692,5716,2918
Fuel oils,14763,4289,11990,19821,4522,15875,26193,5502,21323,30920,5283,24829
Furniture,1815,545,5775,1955,508,6206,1991,468,6330,2159,507,6873
Gasoline,9814,8689,9374,9691,8615,9254,9970,8723,9584,11187,8828,10940
Gravel,9639,4524,119,9572,4677,161,9886,4830,155,10209,4988,156
Live animals/fish,1899,607,3535,2121,568,3947,2063,557,3837,2074,564,3857
Logs,4903,383,726,7086,483,1048,7274,536,1070,7276,527,1072
Machinery,1255,1031,4990,1425,1033,5412,1462,1092,7004,1566,1100,6747
Meat/seafood,636,713,2495,680,608,2664,727,586,2670,698,570,2661
Metallic ores,15731,6864,975,15926,6948,6984,16145,7045,1967,14601,6367,1982
Milled grain prods.,1706,1031,715,1894,973,768,1865,989,788,1864,985,832
Misc. mfg. prods.,1340,506,7596,1379,526,29213,1481,548,8426,1571,570,9201
Mixed freight,2870,1207,8643,3052,1153,8919,3265,1191,9543,3180,1211,9356
Motorized vehicles,4231,4638,24747,5004,5269,26753,5345,5477,26502,5628,5763,27364
Natural sands,3215,1543,203,3372,1964,195,3412,2036,202,3349,2173,208
Newsprint/paper,1293,1181,924,1296,1118,1041,1245,1209,997,1217,1248,977
Nonmetal min. prods.,3538,1993,2315,4003,2264,2610,4303,2432,2807,4604,2580,2977
Nonmetallic minerals,2133,1398,378,2398,1918,453,2569,2362,811,2683,2465,847
Other ag prods.,16407,5941,8486,11368,6290,5884,15792,6059,8189,14909,6412,7731
Other foodstuffs,3118,3467,3329,3474,3599,3738,3515,3491,3742,3698,3724,3988
Paper articles,905,892,1372,943,906,1380,922,864,1331,939,874,1333
Pharmaceuticals,326,905,12089,314,870,10200,311,862,10337,312,866,11682
Plastics/rubber,2134,2299,6205,2141,2527,6782,2089,2626,7337,2228,2765,7828
Precision instruments,271,291,4026,274,279,4241,289,291,4293,299,295,4223
Printed prods.,459,322,1167,450,316,958,440,309,959,428,300,891
Textiles/leather,2421,1704,20711,2442,1642,20787,2476,1678,21140,2672,1678,22861
Tobacco prods.,112,72,908,124,79,1022,123,78,1026,133,85,1137
Transport equip.,993,353,26050,1098,496,29015,1072,493,30054,1070,492,31536
Unknown,128,36,19,130,36,19,135,38,20,138,38,20
Waste/scrap,13521,4791,4650,11857,4531,4060,10876,4247,3684,10778,4100,3647
Wood prods.,5806,2920,1683,6308,2988,1768,6464,2904,1723,6385,3046,1865
Grand Total,73047,104019,73991,68798,98185,64466,72900,94309,72640,75291,82288,77759
