"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Canada","Alabama","Live animals/fish","0.6527","0.7003008954","1.663501208","0.061799930341","0.06400013608","0.28099986251","0.312","0.117899964357","0.11670001577","0.39040003971","0.5056","0.115699964357","0.1148000211","0.38190004235","0.441"
"Canada","Alabama","Other ag prods.","1.9429","2.0987","2.496","2.4303","2.4485","3.1223","3.212","4.4068","4.6971","5.6616","5.6808","4.1773","4.4686","5.3665","5.2532"
"Canada","Alabama","Animal feed","23.2917","25.4952","19.0375","25.2197","26.9945","20.6134","21.4041","22.4625","24.1994","18.3604","18.8637","22.2126","23.9283","18.1558","17.6935"
"Canada","Alabama","Meat/seafood","5.4485","4.9053","26.7652","8.9683","7.8756","44.0561","44.985","9.8564","8.7257","48.4183","55.3774","9.2744","8.2293","45.5598","50.0095"
"Canada","Alabama","Milled grain prods.","0.0268","0.0442","0.0422","0.1067","0.1634","0.168","0.1709","0.0764","0.1281","0.1205","0.1225","0.0751","0.126","0.1184","0.1194"
"Canada","Alabama","Other foodstuffs","4.6179","5.2006","6.5707","6.0762","6.4862","8.646","8.7906","8.054","8.7364","11.4597","12.2725","7.9878","8.685","11.3657","11.4335"
"Canada","Alabama","Building stone","0.9375","1.8694","0.1461","0.6852","1.2711","0.1068","0.1074","0.7679","1.8019","0.1196","0.1233","0.768","1.8049","0.1197","0.1269"
"Canada","Alabama","Natural sands","16.1258","14.7382","0.3596","24.6654","23.9083","0.55","0.5589","25.001","24.2189","0.5576","0.5988","23.9235","23.0852","0.5334","0.5997"
"Canada","Alabama","Gravel","71.7921","69.0848","0.7969","20.3937","19.6202","0.2265","0.2323","20.7011","19.8709","0.2299","0.2434","18.9321","18.1361","0.2102","0.2288"
"Canada","Alabama","Nonmetallic minerals","27.865","27.981","2.1422","19.2225","19.9396","1.4776","1.506","26.2433","27.7257","2.0174","2.1521","24.2432","25.9235","1.8638","2.0551"
"Canada","Alabama","Metallic ores","0.1122","0.1406","0.0165","0","0","0","0","0.1433","0.1796","0.0211","0.0181","0.1372","0.1719","0.0202","0.0152"
"Canada","Alabama","Fuel oils","0.7434","0.7027","0.5144","0.8139","0.8203","0.5624","0.5457","1.095","1.0911","0.7573","0.6907","1.1961","1.1915","0.8272","0.4512"
"Canada","Alabama","Coal-n.e.c.","27.57252290337","22.50199229703","4.69375170154","27.61150318113","22.53414560099","4.70655012781","4.89910641397","22.20845226932","18.12454051069","3.82767158418","4.23581021103","22.21425166974","18.12925878553","3.82834386532","3.21859263543"
"Canada","Alabama","Basic chemicals","37.9300030096035","54.7484037577835","66.7593074829299","28.4122004478635","29.9663028378135","64.1339033342709","64.1816","29.6868014586735","30.0516003878335","67.7847026661064","65.3029000000001","30.5855015876335","30.9753006648835","69.8345036680063","59.1465"
"Canada","Alabama","Pharmaceuticals","0.0166","0.0187","1.9216","0.0039","0.0012","1.0661","1.1499","0.0037","0.0034","0.6248","0.7265","0.0039","0.0036","0.6256","0.777"
"Canada","Alabama","Fertilizers","8.571","9.8571","3.6786","15.2263","15.4836","6.535","6.3204","8.5544","10.6126","3.6715","3.4784","8.6533","10.7891","3.7139","3.4486"
"Canada","Alabama","Chemical prods.","9.9025999737","10.94980000474","46.673799867531","8.8727000053","9.53910000263","41.878395841374","41.7574","11.6272","12.16939999579","54.692999762687","54.4621","12.1586999789","12.77749999579","57.193499894531","56.6257"
"Canada","Alabama","Plastics/rubber","72.6885000001513","68.9731","239.728399997361","72.9917000001513","66.974","240.835200000756","245.3188","74.3791000001513","67.9076","245.415300001513","255.3335","76.3873000001513","69.9844","252.044200045664","249.409"
