type,name,color
International,Africa,#606060
International,Canada,#606060
International,Eastern Asia,#606060
International,Europe,#606060
International,Mexico,#606060
International,Rest of Americas,#606060
International,SE Asia & Oceania,#606060
International,SW & Central Asia,#606060
Midwest,Illinois,#00CC66
Midwest,Indiana,#00CC66
Midwest,Iowa,#00CC66
Midwest,Kansas,#00CC66
Midwest,Michigan,#00CC66
Midwest,Minnesota,#00CC66
Midwest,Missouri,#00CC66
Midwest,Nebraska,#00CC66
Midwest,North Dakota,#00CC66
Midwest,Ohio,#00CC66
Midwest,South Dakota,#00CC66
Midwest,Wisconsin,#00CC66
Northeast,Connecticut,#8A2BE2
Northeast,Maine,#8A2BE2
Northeast,Massachusetts,#8A2BE2
Northeast,New Hampshire,#8A2BE2
Northeast,New Jersey,#8A2BE2
Northeast,New York,#8A2BE2
Northeast,Pennsylvania,#8A2BE2
Northeast,Rhode Island,#8A2BE2
Northeast,Vermont,#8A2BE2
Southeast,Alabama,#FF6666
Southeast,Arkansas,#FF6666
Southeast,Delaware,#FF6666
Southeast,Florida,#FF6666
Southeast,Georgia,#FF6666
Southeast,Kentucky,#FF6666
Southeast,Louisiana,#FF6666
Southeast,Maryland,#FF6666
Southeast,Mississippi,#FF6666
Southeast,North Carolina,#FF6666
Southeast,South Carolina,#FF6666
Southeast,Tennessee,#FF6666
Southeast,Virginia,#FF6666
Southeast,Wasington DC,#FF6666
Southeast,West Virginia,#FF6666
Southwest,Arizona,#FF9933
Southwest,New Mexico,#FF9933
Southwest,Oklahoma,#FF9933
Southwest,Texas,#FF9933
West,Alaska,#0080FF
West,California,#0080FF
West,Colorado,#0080FF
West,Hawaii,#0080FF
West,Idaho,#0080FF
West,Montana,#0080FF
West,Nevada,#0080FF
West,Oregon,#0080FF
West,Utah,#0080FF
West,Washington,#0080FF
West,Wyoming,#0080FF
